,0
DG_Glut,0.6886627906976744
CA1-ProS_Glut,0.7769444444444444
L6_CT_CTX_Glut,0.8057142857142856
OPC_NN,0.8317307692307693
Oligo_NN,0.8544871794871794
MEA-BST_Gaba,0.8547101449275363
VLMC_NN,0.8594827586206897
Astro-NT_NN,0.866346153846154
Sst_Gaba,0.8744845360824741
Pvalb_Gaba,0.8786516853932584
L45_IT_CTX_Glut,0.8798611111111112
MEA-COA_Glut,0.8821428571428572
L6bCT_ENT_Glut,0.8859374999999999
L23_IT_CTX_Glut,0.8965753424657534
Astro-TE_NN,0.9011627906976745
Microglia_NN,0.9017857142857143
CA3_Glut,0.9074404761904762
L23_IT_PPP_Glut,0.9135802469135802
L6_IT_CTX_Glut,0.9146341463414634
STR-PAL_Chst9_Gaba,0.9256849315068493
STR_D1_Gaba,0.930921052631579
CEA-BST_Gaba,0.944078947368421
STR_D2_Gaba,0.9536585365853659
