,0
OPC_NN,0.800320512820513
CA1-ProS_Glut,0.8536111111111111
DG_Glut,0.8697674418604653
L6bCT_ENT_Glut,0.8843749999999999
MEA-COA_Glut,0.9148351648351648
Astro-TE_NN,0.9188953488372092
CA3_Glut,0.9235119047619048
L6_CT_CTX_Glut,0.9289285714285713
MEA-BST_Gaba,0.9344202898550725
Pvalb_Gaba,0.9345505617977528
Astro-NT_NN,0.9355769230769231
VLMC_NN,0.9362068965517241
L45_IT_CTX_Glut,0.938888888888889
CEA-BST_Gaba,0.9401315789473685
L23_IT_CTX_Glut,0.9510273972602739
STR_D2_Gaba,0.9518292682926831
L6_IT_CTX_Glut,0.9576219512195121
L23_IT_PPP_Glut,0.957716049382716
STR-PAL_Chst9_Gaba,0.9695205479452056
Sst_Gaba,0.977577319587629
Oligo_NN,0.9862179487179487
STR_D1_Gaba,0.9907894736842104
Microglia_NN,0.9922619047619048
