gene symbol,ID,type of marker,Source/PMID
Lyz2,ENSMUST00000092163,age,Xiaowei
Maf,ENSMUST00000109104,age,Xiaowei
Maml3,ENSMUST00000121440,age,Xiaowei
Man1a,ENSMUST00000003843,age,Xiaowei
Mef2c,ENSMUST00000197146,age,Xiaowei
Meg3,ENSMUST00000146701,age,Xiaowei
Mei1,ENSMUST00000188048,age,Xiaowei
Meis1,ENSMUST00000118661,age,Xiaowei
Mitf,ENSMUST00000043637,age,Xiaowei
Mxi1,ENSMUST00000111737,age,Xiaowei
Nampt,ENSMUST00000020886,age,Xiaowei
Nr6a1,ENSMUST00000112877,age,Xiaowei
Onecut2,ENSMUST00000175965,age,Xiaowei
Pappa,ENSMUST00000084501,age,Xiaowei
Pbx3,ENSMUST00000113132,age,Xiaowei
Pde10a,ENSMUST00000089085,age,Xiaowei
Pde3a,ENSMUST00000043259,age,Xiaowei
Pde8a,ENSMUST00000026672,age,Xiaowei
Plekhg1,ENSMUST00000042438,age,Xiaowei
Prdm16,ENSMUST00000105637,age,Xiaowei
Prr5l,ENSMUST00000163762,age,Xiaowei
Rbm20,ENSMUST00000164202,age,Xiaowei
Robo1,ENSMUST00000232205,age,Xiaowei
Rspo3,ENSMUST00000092623,age,Xiaowei
Scg2,ENSMUST00000185234,age,Xiaowei
Sdk1,ENSMUST00000085774,age,Xiaowei
Sfmbt2,ENSMUST00000114862,age,Xiaowei
Slc24a3,ENSMUST00000137908,age,Xiaowei
Sox5,ENSMUST00000038815,age,Xiaowei
Sp100,ENSMUST00000066427,age,Xiaowei
Spock1,ENSMUST00000185502,age,Xiaowei
Sptb,ENSMUST00000021458,age,Xiaowei
Tcf7l1,ENSMUST00000069536,age,Xiaowei
Tead2,ENSMUST00000033060,age,Xiaowei
Tiparp,ENSMUST00000047906,age,Xiaowei
Tmem209,ENSMUST00000115160,age,Xiaowei
Tnc,ENSMUST00000107377,age,Xiaowei
Tox2,ENSMUST00000109428,age,Xiaowei
Trim2,ENSMUST00000107695,age,Xiaowei
Trim30a,ENSMUST00000076922,age,Xiaowei
Trpc6,ENSMUST00000050433,age,Xiaowei
Trpm3,ENSMUST00000237357,age,Xiaowei
Zfp385b,ENSMUST00000090766,age,Xiaowei
Zfp804a,ENSMUST00000047527,age,Xiaowei
Sparc,ENSMUST00000108858,age,"Xiaowei,clock genes from https://doi.org/10.1038/s43587-022-00335-4"
Kirrel3,ENSMUST00000188933,celltype: IOL,scRNA FC
Fyn,ENSMUST00000136659,celltype: IOL,scRNA FC
Adgrv1,ENSMUST00000224088,celltype: RGL,scRNA DH
Shroom3,ENSMUST00000113054,celltype: RGL,scRNA DH
Tmem132b,ENSMUST00000031446,celltype: RGL,scRNA DH
Synpr,ENSMUST00000070323,celltype: IOL,scRNA DH
