gene symbol,ID,type of marker,Source/PMID
Scube1,ENSMUST00000043634,"celltype-PIRGL,celltype","30096314,Xiaowei"
Tekt5,ENSMUST00000043415,celltype-PIRGL,30096314
Kcnj8,ENSMUST00000203945,"celltype-PER,celltype","32236824,Xiaowei"
Rgs5,ENSMUST00000027997,celltype-PER,32236824
Mab21l1,ENSMUST00000075422,celltype-PEPT7,YangSlides
Six5,ENSMUST00000049454,celltype-PEPT5,YangSlides
Peg10,ENSMUST00000176204,celltype-PEPT3,YangSlides
Trh,ENSMUST00000006046,celltype-PEPT2,YangSlides
Fezf1,ENSMUST00000031709,celltype-PEPT1,YangSlides
Nr5a1,ENSMUST00000028084,celltype-PEPT1,YangSlides
Fam183b,ENSMUST00000094156,celltype-OXYT,30096314
Hcrt,ENSMUST00000055083,celltype-OREX,30096314
Pdyn,ENSMUST00000028883,celltype-OREX,30096314
Pdgfra,ENSMUST00000000476,"celltype-OPC,celltype","30096314,Xiaowei"
Nkx2-2,ENSMUST00000067075,celltype-OPC,26134004
C1ql1,ENSMUST00000057849,celltype-OPC,30096314
Slc30a3,ENSMUST00000031037,"celltype-OLFGL,celltype","30096314,Xiaowei"
Lmo3,ENSMUST00000162772,celltype-OLFGL,30096314
Nptxr,ENSMUST00000175858,celltype-OLFGL,30096314
Mal,ENSMUST00000028854,celltype-OGC,30096314
Ppp1r14a,ENSMUST00000048187,celltype-OGC,30096314
Mog,ENSMUST00000102665,celltype-OGC,32236824
Ly6g6e,ENSMUST00000013910,celltype-OBNBL2,30096314
Doc2g,ENSMUST00000025806,celltype-OBNBL1,30096314
Dlx1,ENSMUST00000152711,celltype-OBNBL,30096314
Tiam2,ENSMUST00000226997,celltype-OBNBL,30096314
Gng4,ENSMUST00000021734,celltype-OBGA2,30096314
Tshz1,ENSMUST00000060303,celltype-OBGA2,30096314
Sp9,ENSMUST00000090813,celltype-OBGA1,30096314
Th,ENSMUST00000000219,"celltype-OBDOP,celltype","30096314,Xiaowei"
Pax6,ENSMUST00000111087,celltype-OBDOP,30096314
Olfm3,ENSMUST00000051309,celltype-NPGL,30096314
Rapgef3,ENSMUST00000177352,celltype-NPGL,30382198
Slc6a2,ENSMUST00000165470,celltype-Nora,XiaoweiGroup
Gm26834,ENSMUST00000181815,celltype-NFOL,30096314
H2-Ab1,ENSMUST00000040828,celltype-NFOL,30096314
Il23a,ENSMUST00000026449,celltype-NFOL,30096314
Rras2,ENSMUST00000069449,celltype-NFOL,30096314
Tmem163,ENSMUST00000160616,celltype-NFOL,30096314
Isl1,ENSMUST00000036060,celltype-MXD,30096314
Wnt2,ENSMUST00000010941,celltype-MXD,30096314
Cacna2d2,ENSMUST00000170737,celltype-MSGA,30096314
Opalin,ENSMUST00000087176,"celltype-MOL,celltype","30096314,Xiaowei"
Dock5,ENSMUST00000039135,celltype-MOL,30096314
Hapln2,ENSMUST00000005014,celltype-MOL,30096314
Klk6,ENSMUST00000107968,celltype-MOL,30096314
Ninj2,ENSMUST00000112711,celltype-MOL,30096314
Nkx2-9,ENSMUST00000072631,celltype-MOL,30096314
Tnf,ENSMUST00000167924,"celltype-MGL3,age/sasp","30096314,other/sai"
Ccl4,ENSMUST00000019074,celltype-MGL3,30096314
Casp8,ENSMUST00000165549,celltype-MGL2,30096314
Tmem119,ENSMUST00000067853,celltype-MGL2,30096314
Ccr6,ENSMUST00000231340,celltype-MGL1,30096314
P2ry12,ENSMUST00000170388,celltype-MGL1,30096314
Siglech,ENSMUST00000173835,celltype-MGL,30382198
C1qb,ENSMUST00000046384,celltype-MGL,32236824
2210011C24Rik,ENSMUST00000190457,celltype-MFOL,30096314
Snx33,ENSMUST00000050916,celltype-MFOL,30096314
Tmem141,ENSMUST00000142087,celltype-MFOL,30096314
Wfdc18,ENSMUST00000001009,celltype-MFOL,30096314
Pou4f1,ENSMUST00000139505,celltype-MBRN,27716510
Chrna6,ENSMUST00000033882,celltype-MBDOP2,30096314
Npw,ENSMUST00000095544,celltype-MBDOP1,30096314
Ret,ENSMUST00000088790,celltype-MBDOP1,30096314
Evx1os,ENSMUST00000125305,celltype-MBCHO1,30096314
Gm2694,ENSMUST00000182758,celltype-MBCHO1,30096314
Dgkg,ENSMUST00000089925,celltype-LSXGA,30096314
Zic2,ENSMUST00000075888,celltype-LSXGA,30096314
Npy,ENSMUST00000031843,celltype-LAMGA,30096314
Pnoc,ENSMUST00000224594,celltype-LAMGA,30096314
Hs3st4,ENSMUST00000106437,"celltype-L6bGL,age,celltype","30096314,Xiaowei"
Nxph3,ENSMUST00000058866,celltype-L6bGL,30096314
Sulf1,ENSMUST00000185780,celltype-ITL6GL,30096314
Rspo1,ENSMUST00000030687,"celltype-ITL4GL,celltype","30382198,Xiaowei"
Calb1,ENSMUST00000029876,"celltype-ITL23GL,celltype","30096314,Xiaowei"
Cux2,ENSMUST00000111752,"celltype-ITL23GL,celltype","30382198,Xiaowei"
Dkk3,ENSMUST00000033036,celltype-ITHGL,30096314
Hlf,ENSMUST00000004051,celltype-ITHGL,30096314
Gpr17,ENSMUST00000064016,celltype-IOL,30096314
Lims2,ENSMUST00000025254,celltype-IOL,30096314
Gad1,ENSMUST00000094934,"celltype-INH,celltype","34616068,Xiaowei"
Slc32a1,ENSMUST00000045738,celltype-INH,30385464
Ramp3,ENSMUST00000045374,celltype-HYGL,YangSlides
Shox2,ENSMUST00000162098,celltype-HYGL,YangSlides
Rgs16,ENSMUST00000027748,celltype-HYGA,YangSlides
Six6,ENSMUST00000021519,celltype-HYGA,YangSlides
C1ql2,ENSMUST00000037286,celltype-GRC,22791897
Prox1,ENSMUST00000175916,celltype-GRC,22791897
Grm2,ENSMUST00000023959,celltype-GRANLI,YangSlides
Lgi2,ENSMUST00000199942,celltype-GRANLI,YangSlides
Slc6a5,ENSMUST00000056442,celltype-Gly,XiaoweiGroup
Eomes,ENSMUST00000035020,celltype-DGNBL1,30096314
Mfap4,ENSMUST00000126308,celltype-DGNBL1,30096314
Emx2,ENSMUST00000174353,celltype-DGNBL,30096314
Tubb2b,ENSMUST00000075774,celltype-DGNBL,30096314
Bhlhe22,ENSMUST00000026120,celltype-DGGRC1,30096314
Tmem114,ENSMUST00000023400,celltype-DGGRC1,30096314
Pde6g,ENSMUST00000026452,celltype-DETPH,30096314
Adora2a,ENSMUST00000105420,"celltype-D2MSN,celltype","30096314,Xiaowei"
Drd2,ENSMUST00000075764,"celltype-D2MSN,celltype","30096314,Xiaowei"
Gpr88,ENSMUST00000090473,celltype-D2MSN,30096314
Dclk3,ENSMUST00000111879,celltype-D1MSN,30096314
Ppp1r1b,ENSMUST00000137634,celltype-D1MSN,30096314
Garnl3,ENSMUST00000102810,celltype-CTGL,30096314
Rell1,ENSMUST00000154169,celltype-CTGL,30096314
Lhx5,ENSMUST00000031591,celltype-CRC,30096314
Ndnf,ENSMUST00000054351,celltype-CRC,30096314
Nhlh2,ENSMUST00000196324,celltype-CRC,30096314
Trp73,ENSMUST00000133533,celltype-CRC,30096314
Bmp4,ENSMUST00000100676,celltype-COP,30096314
Brca1,ENSMUST00000017290,celltype-COP,30096314
Pak4,ENSMUST00000108283,celltype-COP,30096314
Rinl,ENSMUST00000207462,celltype-COP,30096314
Tnr,ENSMUST00000192069,celltype-COP,30096314
Ankk1,ENSMUST00000034792,celltype-CNUGA,32260442
Plekhh1,ENSMUST00000039928,celltype-CNUGA,32499373
Nr4a2,ENSMUST00000028166,"celltype-CLAGL,celltype","30096314,Xiaowei"
Oprk1,ENSMUST00000160777,celltype-CLAGL,30096314
Clic6,ENSMUST00000023670,celltype-CHOR,30096314
Folr1,ENSMUST00000106981,celltype-CHOR,30096314
Ttr,ENSMUST00000075312,celltype-CHOR,30096314
Ecel1,ENSMUST00000160810,celltype-CHOLIAMY,27767183|26102004
Tacr1,ENSMUST00000203775,celltype-CHOLIAMY,27767183|26102004
Gng8,ENSMUST00000205716,celltype-CHOLHA,YangSlides
Lrrc55,ENSMUST00000111601,celltype-CHOLHA,YangSlides
Slc18a3,ENSMUST00000191501,celltype-Chol,XiaoweiGroup
Car8,ENSMUST00000066674,celltype-CBPC,30096314
Pcp2,ENSMUST00000133459,celltype-CBPC,30096314
Lpl,ENSMUST00000015712,celltype-CA3GL,30096314
Nptx1,ENSMUST00000026670,celltype-CA3GL,30096314
Rnf182,ENSMUST00000059986,celltype-CA3GL,30096314
Lct,ENSMUST00000073490,celltype-CA1GL,27113915
Gpr161,ENSMUST00000111450,celltype-CA1GL,29276487
Neurod6,ENSMUST00000044767,celltype-CA1GL,30096314
Gdf10,ENSMUST00000168727,celltype-BERG,30096314
Timp4,ENSMUST00000205131,celltype-BERG,30096314
Aqp4,ENSMUST00000238946,"celltype-ASCW,celltype","34616068,Xiaowei"
